Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Military_ID,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured ,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,
Polychlorinated Biphenyls (PCBs),Chlorinated hydrocarbon,Former FAA International Flight Service Station,Former FAA International Flight Service Station,Urban,1,1941-1970s,Historic,Honouliuli,"13,000 mg/kg",HDOH EAL: 1.2 mg/kg; C/I: 8.6 mg/kg,Soil (depth not specified),"West Loch, Māmala Bay",Proximity to west loch,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","To site workers and visitors through ingestion, dermal, and inhalation exposure","91-1281 North Rd; 21°19'32” and west 157°59'31” (2 links wouldnt attach on the right column)(FAA, 2024) Ewa Beach International Flight Service Station Demolition and SI.pdf",2021,"(DOH, 2021) Abandoned FAA IFSS Release Notification.pdf ",91,,157.9922720°W 21.3256254°N ,
"Lead, antimony, arsenic, Pesticides, Dioxins, TPH (Middle Distillates)","Heavy metal, Petroleum hydrocarbon, Pesticide",ʻEwa Beach International Flight Service Station,Former FAA International Flight Service Station,Urban,1,1941-1970s,Historic,Honouliuli,Above EAL (no concentrations given),,Discrete soil sample,West Loch,0.8 mi from Māmala Bay and Kapilina Lagoon,-,"Exposure to workers, residents, visitors.",91-1281 North Road. FIgure 1 (p.53),2023,"(FAA, 2024) Ewa Beach International Flight Service Station Demolition and SI.pdf",119,,157.9922720°W 21.3256254°N ,
Lead,Heavy metal,Halewilikō Highlands Development,ʻAiea Sugar Mill and Refinery ,Mixed,0,1899-1994,Historic,ʻAiea,860 mg/kg,HDOH EAL: 200 mg/kg; C/I: 800 mg/kg,Soil (max conc.),ʻAiea Stream,"Site immediately borders stream, potentially feeding into East loch","Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.",Potential human health hazards may exist for future construction/trench worker receptors from direct contact with impacted subsurface soil during future construction events. ,Location: p.29,2022,"(F&A, 2022) EHA: Halewiliko Highlands EAH Housing.pdf",92,,157.9261691°W 21.3810658°N ,
TPH (Middle Distillates),Petroleum hydrocarbon,Halewilikō Highlands Development,ʻAiea Sugar Mill and Refinery ,Mixed,0,1899-1994,Historic,ʻAiea,"6,220 mg/kg",HDOH EAL: 220mg/kg; C/I: 680 mg/kg,Soil (max conc.),ʻAiea Stream,"Site immediately borders stream, potentially feeding into East loch","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Potential human health hazards may exist for future construction/trench worker receptors from direct contact with impacted subsurface soil during future construction events. ,,2022,"(F&A, 2022) EHA: Halewiliko Highlands EAH Housing.pdf",93,,157.9261691°W 21.3810658°N ,
TPH (Residual Fuels),Petroleum hydrocarbon,Halewilikō Highlands Development,ʻAiea Sugar Mill and Refinery ,Mixed,0,1899-1994,Historic,ʻAiea,"3,580 mg/kg","HDOH EAL: 500 mg/kg; C/I: 1,000 mg/kg",Soil (max conc.),ʻAiea Stream,"Site immediately borders stream, potentially feeding into East loch","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Potential human health hazards may exist for future construction/trench worker receptors from direct contact with impacted subsurface soil during future construction events. ,,2022,"(F&A, 2022) EHA: Halewiliko Highlands EAH Housing.pdf",94,,157.9261691°W 21.3810658°N ,
Benzene,Volatile organic compound (VOCs),Halewilikō Highlands Development,ʻAiea Sugar Mill and Refinery ,Mixed,0,1899-1994,Historic,ʻAiea,1.02 mg/kg,HDOH EAL: 0.3 mg/kg; C/I: 0.9 mg/kg,Soil (max conc.),ʻAiea Stream,"Site immediately borders stream, potentially feeding into East loch","Short-term exposure to high levels of benzene can cause dizziness, headaches, drowsiness, and confusion. Long-term exposure primarily affects the bone marrow and leads to blood disorders, including aplastic anemia and an increased risk of leukemia.",Potential human health hazards may exist for future construction/trench worker receptors from direct contact with impacted subsurface soil during future construction events. ,,2022,"(F&A, 2022) EHA: Halewiliko Highlands EAH Housing.pdf",95,,157.9261691°W 21.3810658°N ,
Ethylbenzene,Volatile organic compound (VOCs),Halewilikō Highlands Development,ʻAiea Sugar Mill and Refinery ,Mixed,0,1899-1994,Historic,ʻAiea,4.39 mg/kg,HDOH EAL: 0.9 mg/kg,Soil (max conc.),ʻAiea Stream,"Site immediately borders stream, potentially feeding into East loch"," Acute exposure to ethylbenzene in humans results in respiratory effects, such as throat irritation and chest constriction, irritation of the eyes, and neurological effects such as dizziness.  Chronic (long-term) exposure to ethylbenzene by inhalation in humans has shown conflicting results regarding its effects on the blood.  Animal studies have reported effects on the blood, liver, and kidneys from chronic inhalation exposure to ethylbenzene. ",Potential human health hazards may exist for future construction/trench worker receptors from direct contact with impacted subsurface soil during future construction events. ,,2022,"(F&A, 2022) EHA: Halewiliko Highlands EAH Housing.pdf",96,,157.9261691°W 21.3810658°N ,
Xylenes,Volatile organic compound (VOCs),Halewilikō Highlands Development,ʻAiea Sugar Mill and Refinery ,Mixed,0,1899-1994,Historic,ʻAiea,14.9 mg/kg,HDOH EAL: 1.4 mg/kg,Soil (max conc.),ʻAiea Stream,"Site immediately borders stream, potentially feeding into East loch","Short-term exposures at high concentrations can cause irritation of the skin, eyes, nose, and throat; difficulty breathing; delayed response to a visual stimulus; impaired memory; stomach discomfort; and possible changes in the liver and kidneys. Both short- and long-term exposure can cause effects on nervous system: headaches, lack of muscle coordination, dizziness, confusion",Potential human health hazards may exist for future construction/trench worker receptors from direct contact with impacted subsurface soil during future construction events. ,"Xylenes evaporate easily, so if they get into soil and water (unless trapped underground), they are expected to go into the air where sunlight breaks them down into less harmful chemicals within a couple of days. Xylene is rarely found in high concentrations in topsoil or surface water, unless there has been a recent spill or ongoing contamination source.",2022,"(F&A, 2022) EHA: Halewiliko Highlands EAH Housing.pdf",97,,157.9261691°W 21.3810658°N ,
Arsenic,Heavy metal,Halewilikō Highlands Development,ʻAiea Sugar Mill and Refinery ,Mixed,0,1899-1994,Historic,ʻAiea,29 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Surface Soil (0-6 in),ʻAiea Stream,"Site immediately borders stream, potentially feeding into East loch","Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.",Potential human health hazards may exist for future construction/trench worker receptors from direct contact with impacted subsurface soil during future construction events. ,,2021,"(ETC, 2021) SI Halewiliko Development.pdf",279,,157.9262160°W 21.3810762°N ,
Dieldrin,Organochlorine pesticide,Halewilikō Highlands Development,ʻAiea Sugar Mill and Refinery ,Mixed,0,1899-1994,Historic,ʻAiea,5.7 mg/kg,HDOH EAL: 2.5 mg/kg; 24 mg/kg,Surface Soil (0-6 in),ʻAiea Stream,"Site immediately borders stream, potentially feeding into East loch","Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer",Potential human health hazards may exist for future construction/trench worker receptors from direct contact with impacted subsurface soil during future construction events. ,,2021,,280,,157.9262160°W 21.3810762°N ,
Toluene,Volatile organic compound (VOCs),HART: Kalauao Pearlridge Station,"Multiple historical uses: USTs, oil/water separator, automotive buildings, steel manufacturing, and other storage sites ",Urban,0,1939-2015,Contained,Waimalu,1.3 mg/kg,HDOH EAL: 0.78 mg/kg,Surface Soil,Pearl Harbor East Loch,200 ft from harbor,"Additive in fuel. Most exposure effects are observed from inhalation of toluene vapor. These include CNS depression, tremors, cognitive impairment, drowsiness, etc. Long-term exposure can result in liver and kidney damage, and respiratory problems. Toluene is also a developmental toxicant, potentially causing adverse effects on fetal development when pregnant women are exposed.","Not detailed, however it can be assumed that there are potential human health hazards only upon excavation of the capped soil area.","Lat and Long, p. 7",2020,"Phase 1 EIA: (ENPRO, 2019) Phase I ESA: HART Pearlridge Station.pdfSoil sample: (HART, 2021) Soil Samping Report: Pearlridge station.pdf ",98,,157.9478910°W 21.3834905°N ,
TPH (Middle Distillates),Petroleum hydrocarbon,Hawaiian Cement,Grace Pacific Corporation Above Ground Storage Tanks (ASTs),Urban,0,1973-1990s,Contained,Hālawa,230 mg/kg,HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Surface Soil (0.1-1 ft bgs),Hālawa Well,0.24 mi from Hālawa well,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Low risk of exposure, area capped with concrete. If excavated, risks to human health via incidental ingestion/inhalation. Potential to contaminate goroundwater, but not drinking water source",p.26 site location,2018,"(DOH, 2018) Hawaiian Cement Office Parking Lot.pdf",100,,157.9030093°W 21.3747677°N,
TPH (Residual Fuels),Petroleum hydrocarbon,Hawaiian Cement,Grace Pacific Corporation Above Ground Storage Tanks (ASTs),Urban,0,1973-1990s,Contained,Hālawa,864 mg/kg,HDOH EAL: 500 mg/kg,Surface Soil (0.1-1 ft bgs),Hālawa Well,0.24 mi from Hālawa well,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Low risk of exposure, area capped with concrete. If excavated, risks to human health via incidental ingestion/inhalation. Potential to contaminate goroundwater, but not drinking water source",,,"(DOH, 2018) Hawaiian Cement Office Parking Lot.pdf",99,,157.9030093°W 21.3747677°N,
Heptachlor Epoxide,Organochlorine pesticide,Auto Glass and Auto Repair Shop Soils,Former Sugar Plantation,Urban,0,1890-1995,Contained,Hōʻaeʻae,0.211 mg/kg,HDOH EAL: 0.2 mg/kg; C/I: 2.7 mg/kg,Surface Soil,West Loch,"Near harbor, potential for leaching to groundwater and into West Loch near Pouhala Marsh","Exposure to heptachlor epoxide can cause neurological symptoms such as dizziness, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and an increased risk of liver and adrenal tumors.",Low risk of exposure; the site is sealed with concrete. Any changes in land use must be reported to HEER.,,2013,"(DOH, 2013) NFA: 94-143 Leokane St.pdf https://eha-cloud.doh.hawaii.gov/iheer/api/documents/147963/download",102,,158.0176700°W 21.3763593°N ,
Arsenic,Heavy metal ,West Loch Annex-Electrical Component Disposal Area, Electrical Component Storage Area/Former sugarcane plantation,Urban,1,1971-Current,Ongoing,Honouliuli,99 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Surface Soil,West Loch,0.6 mi from harbor,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","No bioaccessibility analysis has been conducted. The nearest residential population is located approximately 4,400 feet southwest of the site, along the fairways of the Hawaii Prince Golf Club.",p. 7 location data; sampling location data p.27,2021,"(NAVFAC, 2021) Draft RIR West Loch Electrical Comp. Disposal Area.pdf",103,,157.9970473°W 21.3414785°N ,
Iron,Heavy metal ,West Loch Annex-Electrical Component Disposal Area, Electrical Component Storage Area/Former sugarcane plantation,Urban,1,1971-Current,Ongoing,Honouliuli,"61,000 mg/kg",No EAL,Surface Soil,West Loch,0.6 mi from harbor,"Excessive iron intake can cause health problems such as gastrointestinal distress (nausea, vomiting, diarrhea), organ damage (particularly to the liver and heart), and conditions like hemochromatosis, which leads to iron overload. In acute cases, high levels of iron can be toxic and potentially fatal.","Nearest residential population is located approximately 4,400 ft southwest of the site along the fairways of the Hawaii Prince Golf Club",,,"(NAVFAC, 2021) Draft RIR West Loch Electrical Comp. Disposal Area.pdf",104,,157.9970473°W 21.3414785°N ,
Polychlorinated Biphenyls (PCBs),Chlorinated hydrocarbon,West Loch Annex-Electrical Component Disposal Area, Electrical Component Storage Area/Former sugarcane plantation,Urban,1,1971-Current,Ongoing,Honouliuli,4.1 mg/kg,HDOH EAL: 1.2 mg/kg; C/I: 8.6 mg/kg,Surface Soil,West Loch,0.6 mi from harbor,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Nearest residential population is located approximately 4,400 ft southwest of the site along the fairways of the Hawaii Prince Golf Club",,,"(NAVFAC, 2021) Draft RIR West Loch Electrical Comp. Disposal Area.pdf",105,,157.9970473°W 21.3414785°N ,
Polychlorinated Biphenyls (PCBs),Chlorinated hydrocarbon,West Loch Annex-Electrical Component Disposal Area, Electrical Component Disposal Area/Former sugarcane plantation,Urban,1,1971-Current,Ongoing,Honouliuli,12 mg/kg,HDOH EAL: 1.2 mg/kg; C/I: 8.6 mg/kg,Surface Soil,West Loch,0.6 mi from harbor,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Nearest residential population is located approximately 4,400 ft southwest of the site along the fairways of the Hawaii Prince Golf Club","p.7 location data, sampling location map p. 115",2021,"(NAVFAC, 2021) Draft RIR West Loch Electrical Comp. Disposal Area.pdf",106,,157.9965987°W 21.3404430°N ,
Arsenic,Heavy metal ,West Loch Annex-Electrical Component Disposal Area, Electrical Component Disposal Area/Former sugarcane plantation,Urban,1,1971-Current,Ongoing,Honouliuli,83 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Surface Soil,West Loch,0.6 mi from harbor,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","Nearest residential population is located approximately 4,400 ft southwest of the site along the fairways of the Hawaii Prince Golf Club","**note that concentrations of arsenic and thallium increase significantly in the 6-12 bgs zone (As: 130 mg/kg, Tl: 68 mg/kg)",,"(NAVFAC, 2021) Draft RIR West Loch Electrical Comp. Disposal Area.pdf",107,,157.9965987°W 21.3404430°N ,
Antimony,Heavy metal ,West Loch Annex-Electrical Component Disposal Area, Electrical Component Disposal Area/Former sugarcane plantation,Urban,1,1971-Current,Ongoing,Honouliuli,18 mg/kg,HDOH EAL: 6.3 mg/kg; C/I: 82 mg/kg,Surface Soil,West Loch,0.6 mi from harbor,"Short-term exposure to high levels of antimony can cause acute symptoms such as respiratory irritation, nausea, vomiting, and diarrhea. Chronic exposure to lower levels of antimony can lead to more serious health effects, including lung disease, cardiovascular problems, and liver damage. Some forms of antimony, especially antimony trioxide, are considered potential human carcinogens","Nearest residential population is located approximately 4,400 ft southwest of the site along the fairways of the Hawaii Prince Golf Club",,,"(NAVFAC, 2021) Draft RIR West Loch Electrical Comp. Disposal Area.pdf",108,,157.9965987°W 21.3404430°N ,
Cadmium,Heavy metal ,West Loch Annex-Electrical Component Disposal Area, Electrical Component Disposal Area/Former sugarcane plantation,Urban,1,1971-Current,Ongoing,Honouliuli,34 mg/kg,HDOH EAL: 17 mg/kg; C/I: 19 mg/kg,Surface Soil,West Loch,0.6 mi from harbor,"Short-term exposure can cause acute symptoms like lung irritation and gastrointestinal distress. Chronic exposure, especially through inhalation or ingestion, can lead to serious health issues such as kidney damage, weakened bones, and lung diseases","Nearest residential population is located approximately 4,400 ft southwest of the site along the fairways of the Hawaii Prince Golf Club",,,"(NAVFAC, 2021) Draft RIR West Loch Electrical Comp. Disposal Area.pdf",109,,157.9965987°W 21.3404430°N ,
Lead,Heavy metal ,West Loch Annex-Electrical Component Disposal Area, Electrical Component Disposal Area/Former sugarcane plantation,Urban,1,1971-Current,Ongoing,Honouliuli,620 mg/kg,HDOH EAL: 200 mg/kg; C/I: 800 mg/kg,Surface Soil,West Loch,0.6 mi from harbor,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Nearest residential population is located approximately 4,400 ft southwest of the site along the fairways of the Hawaii Prince Golf Club",,,"(NAVFAC, 2021) Draft RIR West Loch Electrical Comp. Disposal Area.pdf",112,,157.9965987°W 21.3404430°N ,
Thallium,Heavy metal ,West Loch Annex-Electrical Component Disposal Area, Electrical Component Disposal Area/Former sugarcane plantation,Urban,1,1971-Current,Ongoing,Honouliuli,19 mg/kg,HDOH EAL: 0.78 mg/kg; C/I: 10 mg/kg,Surface Soil,West Loch,0.6 mi from harbor,"""Thallium can affect your nervous system, lung, heart, liver, and kidney if large amounts are consumed in short periods. Temporary hair loss, vomiting, and diarrhea can also occur and death may result after exposure. Thallium can be fatal from a dose as low as 1 gram. Animal reproductive organs, especially the testes, are damaged after drinking small amounts of thallium-contaminated water for 2 months.""","Nearest residential population is located approximately 4,400 ft southwest of the site along the fairways of the Hawaii Prince Golf Club",,,"(NAVFAC, 2021) Draft RIR West Loch Electrical Comp. Disposal Area.pdf",113,,157.9965987°W 21.3404430°N ,
TPH (Middle Distillates),Petroleum hydrocarbon," 98-87 Kamehameha Highway (tire storage, scrap metal recycling)",Kalauao Station of the Oahu Railroad and Land Company (OR&L) railroad,Urban,0,1890s-1940s,Historic,ʻAiea,290 mg/kg,HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Surface Soil,East Loch,Close proximity to East Loch,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Exposure limited to on-site worker exposure and individuals who use the on-site bike path,"P. 8 TMKs 9-8-009:001, 9-8-009:008, and 9-8-009:010 For Lauryn: p.7 is contact information for further studies",2017,"(DPPTOD, 2018) Brownfields cleanup alt. report. Kalauao Station, 98-87 Kam Hwy.pdf",114,,157.9477674°W 21.3827816°N ,
TEF (Dioxin Equivalent Calculations),Dioxins/Furans,Oil Water Separator (Neil S. Blaisdell Park),Former Waiau Drum Storage Facility,Urban,1,1942-1963,Historic,Waimalu,3.34 ng/g,PRG: 0.038 ng/g,Surface Soil ,"Waimalu Stream, East Loch",Bordered by Waimalu stream and East Loch,"Exposure to TEQ dioxins can lead to cancer, reproductive and developmental issues, and immune system damage. Short-term exposure can cause skin lesions and altered liver function, while long-term exposure is linked to endocrine disruption and increased risk of certain cancers. Dioxins are highly persistent in the environment and can accumulate in the food chain, posing long-term health risks","In a public park with heavy traffic, human exposure may occur through various direct routes such as inhalation, ingestion, and dermal contact, as well as through indirect routes such as consumption of marine life and fish.",https://eha-cloud.doh.hawaii.gov/iheer/#!/site/244/location,1997,"(USACE, 1997) Former Waiau Drum Storage Facility/Neal S. Blaisdell park.pdf",115,,157.9566503°W 21.3852674°N ,
Lead,Heavy metal ,Oil Water Separator (Neil S. Blaisdell Park),Former Waiau Drum Storage Facility,Urban,1,1942-1963,Historic,Waimalu,5.5 mg/L,EPA regulatory level (1995): 5 mg/L,Surface Soil ,"Waimalu Stream, East Loch",Bordered by Waimalu stream and East Loch,"Measured in total contaminant leaching potential. Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","In a public park with heavy traffic, human exposure may occur through various direct routes such as inhalation, ingestion, and dermal contact, as well as through indirect routes such as consumption of marine life and fish.",Neil S. Blaisdell oil water separator and sludge burning pit.png,,,116,,157.9566503°W 21.3852674°N ,
Polychlorinated Biphenyls (PCBs),Petroleum hydrocarbon,Oil Water Separator (Neil S. Blaisdell Park),Former Waiau Drum Storage Facility,Urban,1,1942-1963,Historic,Waimalu,8 mg/kg,HDOH EAL: 1.2 mg/kg; C/I: 8.6 mg/kg,Surface Soil ,"Waimalu Stream, East Loch",Bordered by Waimalu stream and East Loch,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","In a public park with heavy traffic, human exposure may occur through various direct routes such as inhalation, ingestion, and dermal contact, as well as through indirect routes such as consumption of marine life and fish.",,,,117,,157.9566503°W 21.3852674°N ,
TPH (Middle Distillates),Petroleum hydrocarbon,Oil Water Separator (Neil S. Blaisdell Park),Former Waiau Drum Storage Facility,Urban,1,1942-1963,Historic,Waimalu,"28,000 mg/kg",HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Surface Soil ,"Waimalu Stream, East Loch",Bordered by Waimalu stream and East Loch,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","In a public park with heavy traffic, human exposure may occur through various direct routes such as inhalation, ingestion, and dermal contact, as well as through indirect routes such as consumption of marine life and fish.",,,,118,,157.9566503°W 21.3852674°N ,
TPH (Residual Fuels),Petroleum hydrocarbon,ʻEwa Green Village Park, ʻEwa Sugar Plantation Company Unloading area,Mixed,0,1900s-1970s,Historic,Honouliuli,101 mg/kg,HDOH EAL: 100 mg/kg (listed in ESA),Soil,West Loch,"Nearby storm drain, undetermined end point. Stormwater flows to Pacific Ocean","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Exposures do not warrant remediation work, but employees, tenants and other utility workers should be notified of the potential presence","Location: https://eha-cloud.doh.hawaii.gov/iheer/#!/site/265/location Ewa Green Village Park Location (ID 120, 121).png",2010,"(CCH, 2010) Phase I/II ESA, Ewa Green Village Park.pdf",120,,158.0375069°W 21.3405827°N ,
Arsenic,Heavy metal ,ʻEwa Green Village Park, ʻEwa Sugar Plantation Company Unloading area,Mixed,0,1900s-1970s,Historic,Honouliuli,15 mg/kg,HDOH EAL: 20 mg/kg (but above RSL),Soil,West Loch,"Nearby storm drain, undetermined end point. Stormwater flows to Pacific Ocean","Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","Exposures do not warrant remediation work, but employees, tenants and other utility workers should be notified of the potential presence",,2010,,121,,158.0375069°W 21.3405827°N ,
Polychlorinated Biphenyls (PCBs),Chlorinated hydrocarbon,ʻEwa Sugar Mill,ʻEwa Sugar Mill,Mixed,0,1890-1976,Contained,Honouliuli,7.62 mg/kg,HDOH EAL: 1.2 mg/kg; C/I: 8.6 mg/kg,Soil,West Loch,"Into brackish groundwater, not drinking water source","Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Soil cap should've been installed to elimate exposure pathways. Most common pathway is through groundwater to resident pathway, but not deemed significant",,2002,"(DOH, 2002) Contaminated Soil Report, Ewa Mill Site .pdf",122,,158.0353114°W 21.3387171°N ,
Arsenic,Heavy metal ,ʻEwa Sugar Mill: American Welding Hot Spot,ʻEwa Sugar Mill,Mixed,0,1890-1976,Contained,Honouliuli,86.4 mg//kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Soil,West Loch,"Into brackish groundwater, not drinking water source","Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","Soil cap should've been installed to elimate exposure pathways. Most common pathway is through groundwater to resident pathway, but not deemed significant","3174 document has soil testing values and sampling locations, 31708 has exposure pathways",2002,"(DOH, 2002) Contaminated Soil Report, Ewa Mill Site .pdf",123,,158.0353114°W 21.3387171°N ,
Lead,Heavy metal ,ʻEwa Sugar Mill: American Welding Hot Spot,ʻEwa Sugar Mill,Mixed,0,1890-1976,Contained,Honouliuli,"2,670 mg/kg",HDOH EAL: 200 mg/kg; C/I: 800 mg/kg,Soil,West Loch,"Into brackish groundwater, not drinking water source","Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Soil cap should've been installed to elimate exposure pathways. Most common pathway is through groundwater to resident pathway, but not deemed significant",,2002,"(DOH, 2002) Contaminated Soil Report, Ewa Mill Site .pdf",124,,158.0353114°W 21.3387171°N ,
TPH (Middle Distillates),Petroleum hydrocarbon,ʻEwa Sugar Mill: American Welding Hot Spot,ʻEwa Sugar Mill,Mixed,0,1890-1976,Contained,Honouliuli,791 mg/kg,HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Soil,West Loch,"Into brackish groundwater, not drinking water source","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Soil cap should've been installed to elimate exposure pathways. Most common pathway is through groundwater to resident pathway, but not deemed significant",,2002,"(DOH, 2002) Contaminated Soil Report, Ewa Mill Site .pdf",125,,158.0353114°W 21.3387171°N ,
TPH (Residual Fuels),Petroleum hydrocarbon,ʻEwa Sugar Mill: American Welding Hot Spot,ʻEwa Sugar Mill,Mixed,0,1890-1976,Contained,Honouliuli,"4,400 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Soil,West Loch,"Into brackish groundwater, not drinking water source","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Soil cap should've been installed to elimate exposure pathways. Most common pathway is through groundwater to resident pathway, but not deemed significant",,2002,"(DOH, 2002) Contaminated Soil Report, Ewa Mill Site .pdf",126,,158.0353114°W 21.3387171°N ,
